memory_size,embed_dim,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
100,32,0.185210857889615,0.18350000027567148,0.20153125515207648,0.22525600274093444
500,32,0.8594950189581141,0.86077100422699,0.9254355987650342,0.9402088288334198
1000,32,1.719877458526753,1.7169790080515668,1.7944526029168628,1.8690237583359701
2000,32,3.363378380308859,3.3665210066828877,3.469310463697184,3.5547909868182614
5000,32,8.691083301091567,8.417624994763173,9.146945952670649,13.674052082933486
10000,32,20.19613837765064,19.062020495766774,26.99578530300641,35.23206249345091
100,64,0.9046817175112665,0.37445851194206625,3.4907211986137545,4.614192836743311
500,64,1.0222275025444105,0.9609169937903062,1.282010208524298,1.4961049260455181
1000,64,2.0885307987919077,2.010187497944571,2.5084127904847264,2.995353174046613
2000,64,3.7375041597988456,3.6652499984484166,4.327456415921914,5.130334997666068
5000,64,9.265288299066015,9.127833487582393,9.51465190591989,12.782511076366053
10000,64,18.515601598774083,18.22464600263629,19.84105799201643,24.70004166330909
100,128,0.20147083734627813,0.19679099204950035,0.2329126407857984,0.28657273825956503
500,128,0.9249699383508414,0.8984585001599044,1.0754271439509466,1.1085569221177138
1000,128,1.8806450226111338,1.8613540014484897,2.060678660927806,2.105500512116123
2000,128,3.7465292372507975,3.7399169959826395,4.021428647683933,4.199482909170911
5000,128,9.60292169940658,9.430228994460776,10.133220949501265,13.051135666610197
10000,128,18.930979160941206,18.73547899594996,20.08968355512479,22.638820231077254
100,256,0.2147158415755257,0.207042001420632,0.262660306179896,0.29240374860819424
500,256,0.99705247906968,0.9545624925522134,1.1651000080746596,1.381493999797385
1000,256,1.9003999192500487,1.879521005321294,2.0565332990372553,2.1139919076813385
2000,256,3.936359998770058,3.897125003277324,4.336333856917918,4.485479745490011
5000,256,10.325884878984652,9.948312494088896,11.417585061280988,16.37104857829399
10000,256,21.264700757456012,19.88195900048595,27.726090981741425,44.98017357575008
